participant_num,start,end,error
2,10.08,12.45,1
2,16.52,18.55,2
2,23.09,25.14,3
4,10.45,12.54,1
4,14.60,16.79,2
4,18.93,21.01,3
5,9.96,12.04,1
5,17.28,19.35,2
5,21.88,24.04,3
6,10.52,12.61,1
6,16.01,18.33,2
6,21.09,23.23,3
7,10.62,12.65,1
7,16.07,18.20,2
7,22.17,24.34,3
8,10.87,12.95,1
8,15.70,17.57,2
8,20.09,22.18,3
9,10.62,12.65,1
9,15.26,17.31,2
9,20.72,22.78,3
10,10.32,12.48,1
10,15.89,18.00,2
10,25.14,27.38,3
11,10.78,12.79,1
11,15.36,17.40,2
11,22.23,24.34,3
12,10.45,12.66,1
12,16.01,18.06,2
12,21.60,24.01,3
14,9.89,12.06,1
14,14.72,16.88,2
14,20.23,22.21,3
16,10.34,12.27,1
16,15.80,17.90,2
16,24.51,26.55,3
17,10.13,12.34,1
17,15.44,17.39,2
17,21.76,24.04,3
18,10.62,12.64,1
18,15.00,17.17,2
18,21.31,23.23,3
19,10.27,12.38,1
19,15.15,17.20,2
19,22.21,24.18,3
20,10.22,12.30,1
20,15.69,17.70,2
20,24.96,27.17,3
21,10.06,12.17,1
21,15.27,17.25,2
21,22.07,24.11,3
22,10.19,12.27,1
22,15.47,17.62,2
22,20.76,22.89,3
23,10.53,12.54,1
23,14.67,17.77,2
23,26.08,28.12,3
24,10.32,12.39,1
24,14.70,16.71,2
25,9.97,12.08,1
25,14.67,16.65,2
25,21.81,23.93,3
26,10.42,12.33,1
26,15.90,17.84,2
26,22.37,24.40,3
27,11.00,13.01,1
27,16.08,17.80,2
27,26.02,28.02,3
28,10.59,12.66,1
28,15.72,17.83,2
28,23.56,25.65,3
29,9.57,11.82,1
29,17.38,19.33,2
29,22.98,25.01,3