participant_num,start,end
2,9.728605977460557,36.85
4,8.533750148760332,23.22
5,6.449416033057852,29.49
6,8.085575524417731,30.02
7,7.1150081269722,28.08
8,8.010015398970696,24.42
9,8.106215900826447,25.85
10,7.918914740045079,31.27
11,7.305957993989481,26.47
12,8.286270537190083,34.84
14,7.106686634109692,25.44
16,2.976971900826446,35.71
17,8.226283996994741,28.25
18,8.372711680691209,33.89
19,7.359724881292261,29.61
20,7.778412163786628,35.07
21,7.30570097670924,30.23
22,7.759036744552968,27.55
23,8.059121830202855,30.17
24,8.24141741923366,32.91
25,7.481356458302028,28.43
26,8.158007833959427,31.10
27,7.346877989481593,42.20
28,8.056322614575508,28.17
29,5.622460706235913,45.22